id,product_name,brand,category,description,price,original_price,discount_percent,rating,review_count,stock,image_url
1,Samsung Galaxy S26 Ultra,Samsung,Mobiles,"The ultimate Android flagship featuring the Snapdragon 8 Elite Gen 5 processor, a stellar 200 MP camera, and an integrated S Pen.",130000.0,14147.0,41.0,4.7,4865,33,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQPllpWX0SmcHan61Y2hYv0UNFT-RpQEGS0nMRN2VULWgqNuBUNfFqDHDouxf1o1O7tkyslwQD9TtIa9uTdDdP-vvM-VrdL8PLdwjf1nGw8qSPfx5ITeBxvrg
2,Apple iPhone 17,Apple,Mobiles,"The best all-rounder iPhone, offering exceptional processing speed, robust cameras, and all-day battery life.",130000.0,101366.0,12.0,4.3,1229,42,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS6Bzpp4KHk22HmJXtU69gLmAS0s3QOQqUZ7MAJpvPtyFg9-THnh6BUfHpAeHuN7mDOUM67EogptHWHM1Z69nUjgxYR7btmFw0HK5v4oqPDlb4D3SUsVDy0eqU
3,Google Pixel 10 Pro XL,Google,Mobiles,"Renowned as the best overall phone for Android with unmatched AI features, a pure software experience, and incredible camera capabilities.",190000.0,44423.0,22.0,4.6,879,64,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfauoSo21_QgNOFFuoE10Br4OJm7m3PkfH2XhgGtew6oPDDTMbzfKahVxSExq0vn5hmuyeR5vc0dlvVnRN02ZWi1X1KG-z
4,"Apple MacBook Air (M5 Chip, 2026)",Apple,Laptops,"Powered by the next-gen M5 chip, this laptop offers blazing AI capabilities, Apple Intelligence, and up to 18 hours of battery life in a remarkably thin, lightweight body.",100000.0,122926.0,29.0,3.8,823,96,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQWpfYB8J14j3wpxTYHSqD3OFduoLMukyoAAXk9R57ZjiWf2p8CdSyk5YCzjBTbRsRWNSdRCi4gAICUpz6Im9h_Z8WJHxVCJIBBoUcnpoE8e2iWQrsB72Z5rjJ6
5,Samsung Galaxy Watch 8,Samsung,Smart Watches,"The pinnacle for Android users, featuring a bold cushion design, an ultra-bright 3000-nit display, and advanced holistic health tracking driven by Galaxy AI. [1, 2, 3, 4, 5]",20000.0,149794.0,17.0,4.7,2884,157,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRrT68enrg6XGtHzKh646AuHObNP9mRbhI-7N40gKg7LCibIFN-AIbF1OLb-MER6pT-A2ORgTd04slmIJFnDo0Ai7h0yotW12jgJCLfrc8
6,Sony WH-1000XM6,Sony,Headphones,"he industry-leading flagship for noise cancellation. Offers unparalleled 12-mic real-time processing, studio-grade sound, 30+ hours of battery life, and stellar multi-device connectivity.",5000.0,91608.0,18.0,3.6,3149,157,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT9V_6P_HzmhDVPAG2KDMvd2Vhic-PiEh84hus_lMcRrwkZ6qdcNfbWMSswLOfd3cctEu2IuUFv-SfdA6en_T4EpE0wknI_3KSlGi7k2AhCE-aj6QET9l9Uiw
7,OnePlus 15,OnePlus,Mobiles,"A favorite for gamers and heavy power users, delivering blazing-fast performance, super-fast charging, and a vibrant display.",50000.0,48457.0,41.0,3.6,2392,198,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTHICtYNyZ1po4Q8ashlWnedeX85jgh39l-auNESbcjRBURY4lNLwSvb7PB10dz9GE2gfrsvf-iuX1oreagSY6SWSbgmTpIKd35DwADJ-gkop2YZogkQm1F8Q
8,Apple Watch Series 11,Apple,Smart Watches,"The ultimate smartwatch for iPhone users, offering advanced sleep scoring, hypertension alerts, and premium integration.",30000.0,133810.0,29.0,3.9,3493,35,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT7xCvo6irGoDGyMeQJBeYYYmUDAAtTghrFXaPuD2Wutt3UDQ4e6GYrgdFUT_M6vXnMY58xE2_6OqsPmoTiUTRDk5QSqrNWAbBFzqlqAas69ZWjHIZ4ITa-Gg8
9,Apple MacBook Neo,Apple,Laptops,"A premium, student-friendly MacOS laptop featuring the A18 Pro chip. It provides the classic, high-end MacBook build and feel at a much more accessible price point.",80000.0,8215.0,49.0,3.9,4715,10,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTpYXOWfGdtm_01f_6H9IUjq4RmbDoapgWNGOSII8iGRsBK9PGAdYRuQlKG-BN_Q11qOj_yrD6BBxuOJfowMscMOLfWEOqbtGfacsADFKQnXypQrIQTBREfuw
10,Oppo Find X9 Pro,Oppo,Mobiles,A premium camera-focused phone featuring top-tier Hasselblad tuning and a stunning display for photography enthusiasts.,50000.0,82337.0,18.0,3.6,289,103,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQI4pkV63J6xh1ByEljXhE3JRph74z-zZpuEjg73Pvd9ZSBm_QHY1j94QHPpKmhPah0T2musuWCb2dqu76Gmse0kIPyLWhYGSqkxzyBvUhunjy9AarebYZx-w8
